,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
04/02/2020 14:30,184,30.7,49,135,0,0,15.4,47,38,48,51,16.1333333333,18.5834656085,13.2027777778,13.6757575758,136,42,6
04/02/2020 15:00,134,22.3,26,108,0,0,15.0,38,27,27,42,16.261039886,16.6861111111,13.4430555556,13.4886243386,103,28,3
04/02/2020 15:30,172,28.7,39,133,0,0,15.5,42,28,46,56,15.8575396825,18.0375,14.1134259259,13.9188219188,118,51,3
04/02/2020 16:00,171,28.5,43,128,0,0,16.0,47,35,41,48,17.0486531987,18.0310846561,14.7222222222,14.244510582,108,50,13
04/02/2020 16:30,170,28.3,47,123,0,0,17.1,50,28,47,45,19.4982744108,16.3571428571,15.4694444444,17.0140692641,99,47,24
04/02/2020 17:00,166,27.7,36,130,0,0,15.4,41,22,48,55,17.3859126984,16.8313492063,13.2232804233,14.0930250305,143,20,3
04/02/2020 17:30,181,30.2,32,149,0,0,15.7,41,39,51,50,18.2916666667,14.3382936508,14.7895622896,15.3818681319,159,17,5
04/02/2020 18:00,204,34.0,42,162,0,0,17.3,52,35,56,61,21.4377289377,19.1740740741,13.6797930283,14.8625,161,37,6
04/02/2020 18:30,127,21.2,21,106,0,0,15.1,26,17,37,47,14.4861111111,15.7333333333,15.0996031746,15.1546717172,83,40,4
04/02/2020 19:00,163,27.2,35,128,0,0,15.9,40,27,43,53,17.3314814815,18.8103174603,12.665007215,14.6107323232,118,39,6
04/02/2020 19:30,134,22.3,31,103,0,0,17.2,32,20,32,50,19.4791666667,17.9416666667,15.3944444444,15.8134259259,97,36,1
04/02/2020 20:00,98,16.3,27,71,0,0,14.1,20,30,20,28,18.8888888889,13.6636243386,10.3027777778,13.5246031746,77,18,3
04/02/2020 20:30,103,17.2,22,81,0,0,13.6,34,17,24,28,14.4925925926,15.8166666667,12.0777777778,11.8488095238,74,25,4
04/02/2020 21:00,73,12.2,11,62,0,0,10.1,19,6,22,26,11.7333333333,9.5,8.0722222222,11.0317460317,62,4,7
04/02/2020 21:30,56,9.3,15,41,0,0,9.6,18,8,12,18,9.1972222222,8.6111111111,11,9.7222222222,53,1,2
04/02/2020 22:00,47,7.8,11,36,0,0,8.5,14,5,10,18,13.2916666667,4.6666666667,7.0666666667,9.0694444444,44,1,2
04/02/2020 22:30,29,4.8,7,22,0,0,8.0,11,7,4,7,13.5,9,3.0833333333,6.3333333333,28,0,1
04/02/2020 23:00,26,4.3,5,21,0,0,7.8,9,2,5,10,16.9166666667,2.8333333333,2.8333333333,8.4444444444,22,3,1
04/02/2020 23:30,21,3.5,7,14,0,0,5.7,7,2,3,9,11.5,2.6666666667,2.5,6.0694444444,21,0,0
04/03/2020 00:00,14,2.3,3,11,0,0,4.6,6,1,2,5,7.9166666667,1.5,3.75,5.0833333333,13,1,0
04/03/2020 00:30,10,1.7,1,9,0,0,2.7,2,0,3,5,2.6666666667,0,2.5,5.6666666667,10,0,0
04/03/2020 01:00,11,1.8,3,8,0,0,3.1,6,0,1,4,6.5833333333,0,1.1666666667,4.5833333333,11,0,0
04/03/2020 01:30,4,0.7,3,1,0,0,1.0,3,0,1,0,2.5,0,1.5,0,4,0,0
04/03/2020 02:00,5,0.8,0,5,0,0,1.5,3,1,1,0,2.8333333333,1.6666666667,1.3333333333,0,5,0,0
04/03/2020 02:30,3,0.5,1,2,0,0,0.6,0,1,0,2,0,0.8333333333,0,1.4166666667,3,0,0
04/03/2020 03:00,3,0.5,0,3,0,0,0.7,0,0,0,3,0,0,0,2.9166666667,3,0,0
04/03/2020 03:30,5,0.8,0,5,0,0,2.1,1,1,2,1,2,2.3333333333,2.6666666667,1.3333333333,5,0,0
04/03/2020 04:00,9,1.5,3,6,0,0,2.9,2,2,1,4,2.8333333333,2.8333333333,0.6666666667,5.1666666667,8,1,0
04/03/2020 04:30,8,1.3,0,8,0,0,2.9,1,0,2,5,6,0,3.8333333333,1.8666666667,8,0,0
04/03/2020 05:00,2,0.3,0,2,0,0,0.7,0,0,0,2,0,0,0,2.8333333333,2,0,0
04/03/2020 05:30,3,0.5,0,3,0,0,0.7,1,0,2,0,1.5,0,1.25,0,3,0,0
04/03/2020 06:00,5,0.8,1,4,0,0,2.3,1,1,1,2,1.5,1.5,3.6666666667,2.6666666667,5,0,0
04/03/2020 06:30,8,1.3,3,5,0,0,2.3,3,1,1,3,4,0.8333333333,0.8333333333,3.5,7,0,1
04/03/2020 07:00,12,2.0,4,8,0,0,4.7,3,3,2,4,5.1666666667,3.3333333333,3,7.3333333333,12,0,0
04/03/2020 07:30,28,4.7,3,25,0,0,6.4,3,2,10,13,9.8333333333,3.1666666667,4.5416666667,8.0972222222,26,1,1
04/03/2020 08:00,56,9.3,7,49,0,0,11.3,11,9,16,20,11.35,10.7,11.9166666667,11.4,36,15,6
04/03/2020 08:30,68,11.3,11,57,0,0,16.2,18,13,15,22,23.5166666667,16.3333333333,12.6388888889,12.1888888889,50,11,7
04/03/2020 09:00,90,15.0,22,68,0,0,14.1,19,11,27,33,18.3055555556,13.125,13.0138888889,11.9232142857,69,17,4
04/03/2020 09:30,98,16.3,19,79,0,0,15.5,20,16,29,33,21.4861111111,11.8333333333,14.9,13.7067460317,60,33,5
04/03/2020 10:00,80,13.3,8,72,0,0,18.6,17,10,23,30,23.6222222222,22,15.475,13.2825396825,53,26,1
04/03/2020 10:30,116,19.3,11,105,0,0,16.4,31,11,35,39,17.8865740741,22.1666666667,12.6321428571,12.7922619048,86,23,7
04/03/2020 11:00,128,21.3,24,104,0,0,16.3,29,20,39,40,18.7007936508,16.3833333333,16.1281746032,14.0301587302,85,35,8
04/03/2020 11:30,157,26.2,37,120,0,0,17.4,48,26,36,47,19.0380952381,20.65,15.3148809524,14.5833333333,117,34,6
04/03/2020 12:00,143,23.8,34,108,1,0,15.5,42,20,30,51,18.7970899471,16.3472222222,14.1305555556,12.8558080808,112,26,5
04/03/2020 12:30,139,23.2,25,113,1,0,16.0,43,21,24,51,19.7716269841,16.6,14.1,13.5064484127,107,29,3
04/03/2020 13:00,170,28.3,25,145,0,0,14.7,38,27,52,53,15.8772486772,14.0805555556,14.2335858586,14.5227272727,137,25,8
04/03/2020 13:30,213,35.5,53,160,0,0,15.6,63,33,52,65,17.7846459096,16.1457070707,15.0929292929,13.3652777778,163,48,2
04/03/2020 14:00,166,27.7,37,129,0,0,14.5,47,29,35,55,16.3306878307,14.4,13.8912698413,13.4703703704,140,26,0
04/03/2020 14:30,140,23.3,34,106,0,0,14.7,31,29,37,43,13.7797619048,18.1928571429,13.0755952381,13.8801587302,108,29,3
04/03/2020 15:00,192,32.0,43,149,0,0,15.0,56,32,50,54,19.505952381,14.0087301587,13.2416666667,13.3229497354,166,25,1
04/03/2020 15:30,167,27.8,35,132,0,0,14.8,50,27,47,43,18.619047619,15.6154761905,13.0169312169,11.9734940985,137,24,6
04/03/2020 16:00,172,28.7,35,137,0,0,16.7,33,29,48,62,18.3244949495,20.1579365079,13.8463624339,14.4430555556,144,27,1
04/03/2020 16:30,178,29.7,39,139,0,0,15.4,54,25,43,56,19.4601851852,13.8305555556,13.4492424242,14.8373015873,157,21,0
04/03/2020 17:00,160,26.7,38,122,0,0,15.8,47,28,41,44,17.0772792023,19.1402777778,13.2842592593,13.8305555556,147,11,2
04/03/2020 17:30,195,32.5,43,152,0,0,16.5,43,36,55,61,16.1222222222,20.9126262626,13.9683372183,15.0121212121,172,20,3
04/03/2020 18:00,197,32.8,42,155,0,0,15.9,41,43,52,61,17.1601851852,14.9444444444,15.0394119769,16.3541666667,162,32,3
04/03/2020 18:30,181,30.2,52,129,0,0,14.2,49,32,39,61,16.1146723647,13.7037037037,12.2467592593,14.7606837607,137,37,7
04/03/2020 19:00,166,27.7,47,119,0,0,14.3,45,29,40,52,15.6187169312,15.073015873,12.6952380952,13.983044733,118,44,4
